archetype_key,archetype_label_ja,catalog_rg_low_in,catalog_total_diff_in,catalog_intermediate_diff_in,drill_angle_deg,pin_pap_in,val_angle_deg,pap_rg_in,rg_low_in,rg_mid_in,rg_high_in,total_diff_in,int_diff_in,performance_diff_in,effective_flare_diff_in,flare_utilization_pct,removed_mass_oz
symmetric_high,対称・高RG差,2.48,0.055,0,10,3,70,2.49070684948272,2.4781326417657565,2.5256790481334184,2.5285987241954753,0.05046608242971873,0.0029196760620568973,0.050550469672501694,0.04183461249891947,82.75810842105102,2.4119385087480647
symmetric_high,対称・高RG差,2.48,0.055,0,10,3.5,20,2.4971798045771876,2.4735750316547795,2.5239806442419828,2.5347496872141564,0.061174655559376845,0.010769042972173626,0.06211530221567725,0.05091805094232806,81.97344152899714,2.4119385087480647
symmetric_high,対称・高RG差,2.48,0.055,0,10,3.5,40,2.4971799155404364,2.4767887702283575,2.523799151134288,2.5317904322979174,0.05500166206955992,0.007991281163629349,0.05557916340725401,0.04666225562025002,83.9563835791019,2.4119385087480647
symmetric_high,対称・高RG差,2.48,0.055,0,10,3.5,70,2.4971803873303298,2.4800947365482306,2.523734365176798,2.52861671436254,0.04852197781430956,0.004882349185742374,0.04876699359796406,0.04256837104068709,87.28930758295556,2.4119385087480647
symmetric_high,対称・高RG差,2.48,0.055,0,10,4,20,2.503550938933062,2.474478725085818,2.5228795440265883,2.534963724006676,0.06048499892085779,0.012084179980087484,0.06168032506599909,0.04873371053800431,79.0101389476439,2.4119385087480647
symmetric_high,対称・高RG差,2.48,0.055,0,10,4,40,2.503549898035968,2.4780160420347044,2.522498350989204,2.5318858738585286,0.05386983182382421,0.009387522869324538,0.0546816638952144,0.04445574461337168,81.29918046854155,2.4119385087480647
symmetric_high,対称・高RG差,2.48,0.055,0,10,4,70,2.5035504542386504,2.4817270413691856,2.522103586621992,2.528642301545222,0.04691526017603653,0.0065387149232303265,0.04736872839999481,0.04031971774783497,85.11885184538623,2.4119385087480647
symmetric_high,対称・高RG差,2.48,0.055,0,10,5,20,2.5146400756211826,2.4756358395047835,2.5211685426501607,2.535536154781592,0.0599003152768085,0.01436761213143134,0.06159931857269454,0.03642996735623072,59.1402116132811,2.4119385087480647
symmetric_high,対称・高RG差,2.48,0.055,0,10,5,40,2.5146393251251156,2.4793484191318504,2.520750375077801,2.5323224038297356,0.05297398469788517,0.011572028751934749,0.05422319526003033,0.03201186587071862,59.03721777590558,2.4119385087480647
symmetric_high,対称・高RG差,2.48,0.055,0,10,5,70,2.5146395502693353,2.483305146901069,2.520474459815732,2.528717353948681,0.04541220704761173,0.008242894132949097,0.046154239811984375,0.02754468347426558,59.67963850444211,2.4119385087480647
symmetric_high,対称・高RG差,2.48,0.055,0,10,6,20,2.521652079761345,2.4756297809070733,2.520469383958844,2.5362370897192577,0.060607308812184346,0.01576770576041353,0.06262480679732638,0.017665725524204187,28.208830378313255,2.4119385087480647
symmetric_high,対称・高RG差,2.48,0.055,0,10,6,40,2.5216524943652048,2.478774180466318,2.5205937831203613,2.5330402058364982,0.054266025370180326,0.01244642271613694,0.05567508372607826,0.013037702614542807,23.41748182847534,2.4119385087480647
symmetric_high,対称・高RG差,2.48,0.055,0,10,6,70,2.5216510485212233,2.482046948079602,2.5215700999314503,2.5288603927885944,0.04681344470899251,0.0072902928571441095,0.04737770546855161,0.006702692250234824,14.14735514087726,2.4119385087480647
symmetric_high,対称・高RG差,2.48,0.055,0,50,1,20,2.4704920638296954,2.4682954786106057,2.528340569881026,2.5355510098937915,0.06725553128318573,0.0072104400127654955,0.06764094125129591,0.022416430102345706,33.140328457384136,2.4119385087480647
symmetric_high,対称・高RG差,2.48,0.055,0,50,1,40,2.470491259864241,2.4691190598927575,2.528447479151008,2.5346424379503234,0.06552337805756592,0.006194958799315309,0.06581558012051496,0.017763491076610384,26.989796403957307,2.4119385087480647
symmetric_high,対称・高RG差,2.48,0.055,0,50,1,70,2.4704921445400627,2.4698809271112205,2.5284944816226953,2.533853064701831,0.0639721375906106,0.005358583079135837,0.06419617434495621,0.012289687097351731,19.143955574850096,2.4119385087480647
