drill_angle_deg,pin_pap_in,val_angle_deg,angle_sum_deg,source_timing_guide_pct,mass_after_lb,removed_mass_oz,com_shift_in,pap_rg_in,pap_inertia_lb_in2,rg_low_in,rg_mid_in,rg_high_in,total_diff_in,int_diff_in,performance_diff_in,effective_flare_diff_in,flare_utilization_pct,pap_to_pin_deg,pap_to_psa_deg
10,3,30,40,92.3076923076923,14.849253843203247,2.4119385087480647,0.030812898274245347,2.4892030457617604,92.00793398913153,2.4733812020019217,2.512252712595379,2.522403378626141,0.04902217662421915,0.010150666030761979,0.05006205970437296,0.045756001481282955,91.39855961077473,39.997053761314,50.72942095594871
10,3,40,50,84.61538461538461,14.849253843203247,2.4119385087480647,0.03081503023831957,2.489203188156491,92.00794451574998,2.474764728026813,2.5110402221330057,2.522253624802911,0.0474888967760978,0.011213402669905115,0.04879483288677508,0.043591369953309825,89.33603698256428,39.997053761314,50.72942095594871
10,3,50,60,76.92307692307693,14.849253843203247,2.4119385087480647,0.030816568763105966,2.4892034717984775,92.00796548416088,2.47605896390673,2.5096346093598734,2.5223823558698606,0.04632339196313051,0.012747746509987223,0.048045412726427025,0.041655720142022935,86.7007228748615,39.997053761314,50.72942095594871
10,3,60,70,69.23076923076923,14.849253843203247,2.4119385087480647,0.03081401811936534,2.4892035219612927,92.00796919247855,2.477150164416876,2.508320099255068,2.522618534666146,0.045468370249269974,0.014298435411078003,0.04766359143339356,0.0400486106720321,84.02348515427578,39.997053761314,50.72942095594871
10,3,70,80,61.53846153846154,14.849253843203247,2.4119385087480647,0.03081523717633712,2.489203374489668,92.00795829054613,2.4779132807315127,2.5073398434414873,2.5228435269046607,0.044930246173148,0.015503683463173434,0.04752989819162206,0.03885838560179228,81.75566765392676,39.997053761314,50.72942095594871
10,3.5,20,30,100,14.849253843203247,2.4119385087480647,0.030812490573268767,2.4952597402590997,92.45622358280418,2.473045124422804,2.5121512796263707,2.5228338982092207,0.04978877378641666,0.010682618582849912,0.05092190427450275,0.04888946082914503,96.00870494865725,46.66322938819967,44.251583605691394
10,3.5,30,40,92.3076923076923,14.849253843203247,2.4119385087480647,0.030815627564695306,2.4952605524281712,92.45628376900144,2.4746192972242538,2.5115985268662553,2.5218403803786216,0.04722108315436779,0.010241853512366283,0.048319005139183975,0.04659059873996125,96.42292635321441,46.66322938819967,44.251583605691394
10,3.5,40,50,84.61538461538461,14.849253843203247,2.4119385087480647,0.030814090771648643,2.4952601835028014,92.45625642959905,2.4762175701913964,2.5105846014638056,2.5212811076617543,0.04506353747035785,0.010696506197948707,0.04631563077606848,0.044422318776819666,95.91215326764568,46.66322938819967,44.251583605691394
10,3.5,50,60,76.92307692307693,14.849253843203247,2.4119385087480647,0.03081566021502469,2.4952604328555643,92.45627490801209,2.4777274094769166,2.509313032280395,2.5210636082395075,0.04333619876259087,0.011750575959112552,0.04490102625287819,0.042478165599580356,94.6039971566518,46.66322938819967,44.251583605691394
10,3.5,60,70,69.23076923076923,14.849253843203247,2.4119385087480647,0.0308133177769864,2.4952598537314006,92.4562319917249,2.479008606325131,2.5080656543097146,2.5210454217639695,0.04203681543883864,0.012979767454254887,0.04399509308326915,0.04085713155783366,92.8674738351018,46.66322938819967,44.251583605691394
10,3.5,70,80,61.53846153846154,14.849253843203247,2.4119385087480647,0.03081441981177657,2.4952600908570477,92.45624956403893,2.479898939850696,2.5071301125703376,2.5211003006817823,0.04120136083108639,0.013970188111444681,0.043505382313025705,0.039648799565357586,91.13538936419496,46.66322938819967,44.251583605691394
10,4,20,30,100,14.849253843203247,2.4119385087480647,0.030815204260155733,2.501220463692056,92.89847351430224,2.4739829018931636,2.511135299289163,2.52292585948161,0.04894295758844658,0.011790560192447064,0.05034312671215603,0.04707702612690304,93.51232075050207,53.329405015085335,37.82413008917072
10,4,30,40,92.3076923076923,14.849253843203247,2.4119385087480647,0.03081482233735031,2.50122075023684,92.89849479957076,2.4757039605567113,2.510692169046262,2.5216783224047883,0.04597436184807702,0.010986153358526263,0.04726877947392949,0.04476808386845947,94.70962518325813,53.329405015085335,37.82413008917072
10,4,40,50,84.61538461538461,14.849253843203247,2.4119385087480647,0.030817069083324614,2.501221508689973,92.89855113939208,2.4774690265433286,2.509868894752688,2.5207641512925405,0.04329512474921193,0.010895256539852571,0.044644982272580465,0.042579507205011385,95.37355608081934,53.329405015085335,37.82413008917072
